titulo,artista,genero
Cancion animal,Soda Stereo,Rock
Disco Eterno,Soda Stereo,Rock
Corazon Delator,Soda Stereo,Rock
Primavera 0,Soda Stereo,Rock
Te para 3,Soda Stereo,Rock
We are the people,Empire Of The Sun,Pop
Skyfall,Adele,Pop
Thriller,Michael Jackson,Pop
Little Dark Age,MGMT,Pop
Like a tattoo,Sade,Pop
Guaya,Arcangel ft. Daddy Yankee,Regueton
Hooka,Don Omar ft. Plan B,Regueton
RX,Don Omar ft. Kendo Kapponi,Regueton
Salgo pa la calle,Daddy Yankee ft. Randy,Regueton
Aprovecha,Nova y Jory ft. Daddy Yankee,Regueton
Innerbloom,RÜFÜS DU SOL,Electronica
Aura,Avoure,Electronica
The Morning After,NTO,Electronica
Cocaine Model,ZHU,Electronica
See you in the other side,Pyramid,Electronica
Acho PR,Bad Bunny,Regueton
