usuario,fecha,titulo,genero
admin,2025-11-11 17:18:24,Te para 3,Rock
admin,2025-11-11 17:18:59,Skyfall,Pop
admin,2025-11-11 17:19:11,Te para 3,Rock
admin,2025-11-11 17:19:26,Corazon Delator,Rock
admin,2025-11-11 17:22:46,Te para 3,Rock
juan,2025-11-11 19:18:18,Cancion animal,Rock
juan,2025-11-11 19:21:07,We are the people,Pop
juan,2025-11-11 19:21:12,Cancion animal,Rock
juan,2025-11-11 19:21:58,Cancion animal,Rock
admin,2025-11-12 13:30:16,Cancion animal,Rock
admin,2025-11-12 13:30:52,Thriller,Pop
admin,2025-11-12 13:31:36,Little Dark Age,Pop
admin,2025-11-12 13:31:49,Acho PR,Regueton
juan,2025-11-12 14:46:43,The Morning After,Electronica
juan,2025-11-12 14:46:59,The Morning After,Electronica
juan,2025-11-12 14:47:00,The Morning After,Electronica
juan,2025-11-12 14:47:00,The Morning After,Electronica
juan,2025-11-12 14:47:05,The Morning After,Electronica
juan,2025-11-12 15:31:55,Te para 3,Rock
juan,2025-11-12 15:32:25,Te para 3,Rock
juan,2025-11-12 15:33:53,Cancion animal,Rock
juan,2025-11-12 17:01:03,Like a tattoo,Pop
juan,2025-11-12 17:12:54,Like a tattoo,Pop
juan,2025-11-12 18:07:56,Cancion animal,Rock
juan,2025-11-12 18:08:05,Like a tattoo,Pop
juan,2025-11-12 18:08:20,We are the people,Pop
juan,2025-11-12 18:12:09,Cancion animal,Rock
juan,2025-11-12 18:12:15,We are the people,Pop
juan,2025-11-12 18:12:18,Like a tattoo,Pop
juan,2025-11-12 18:12:20,We are the people,Pop
juan,2025-11-12 18:12:21,Like a tattoo,Pop
juan,2025-11-12 18:24:32,Cancion animal,Rock
juan,2025-11-12 21:21:57,Cancion animal,Rock
juan,2025-11-12 21:56:58,Cancion animal,Rock
juan,2025-11-12 21:57:03,Te para 3,Rock
admin,2025-11-12 22:08:30,Te para 3,Rock
juan,2025-11-12 22:09:20,Cancion animal,Rock
juan,2025-11-13 11:32:39,Cancion animal,Rock
juan,2025-11-13 11:42:57,Guaya,Regueton
juan,2025-11-13 11:43:11,Aprovecha,Regueton
juan,2025-11-13 11:55:52,Cancion animal,Rock
juan,2025-11-13 12:03:42,Cancion animal,Rock
admin,2025-11-13 12:46:51,Skyfall,Pop
admin,2025-11-13 12:48:39,We are the people,Pop
juan,2025-11-13 14:20:08,See you in the other side,Electronica
juan,2025-11-13 14:20:42,Cancion animal,Rock
juan,2025-11-13 15:03:44,Aprovecha,Regueton
juan,2025-11-13 15:04:03,Cancion animal,Rock
juan,2025-11-13 15:05:03,Cancion animal,Rock
juan,2025-11-13 15:05:27,Cancion animal,Rock
juan,2025-11-13 15:29:09,Primavera 0,Rock
juan,2025-11-13 15:29:28,Corazon Delator,Rock
juan,2025-11-13 15:29:33,Disco Eterno,Rock
juan,2025-11-13 15:29:34,Te para 3,Rock
juan,2025-11-13 15:29:35,Like a tattoo,Pop
juan,2025-11-13 15:29:36,Little Dark Age,Pop
juan,2025-11-13 15:29:36,Thriller,Pop
juan,2025-11-13 15:29:37,Skyfall,Pop
juan,2025-11-13 15:29:38,Primavera 0,Rock
juan,2025-11-13 15:29:38,Corazon Delator,Rock
juan,2025-11-13 15:29:43,Cancion animal,Rock
juan,2025-11-13 16:00:02,Cancion animal,Rock
juan,2025-11-13 16:00:09,We are the people,Pop
juan,2025-11-13 16:00:10,Te para 3,Rock
juan,2025-11-13 16:00:11,Disco Eterno,Rock
